implementation_id,control_family_id,legacy_ids,intervention,layer,instrument_class,operative_instrument_legal_basis,implementer,jurisdiction,legal_force,legal_status,legal_scope_correction,operational_maturity,mechanism_targeted,causal_chain_point,agency_domain,primary_evidence_basis,mechanism_evidence_tier,intervention_effect_evidence,claim_class,expected_effect,main_failure_evasion,rights_trade_offs,metric,decision_tier,decision_rationale,horizon_date,part_1_linkage,part_2_linkage,last_reviewed,notes,family_name,mechanism_ids,context_entity_ids,research_gap_ids,claim_ids,effect_claim_ids,legal_claim_ids,mechanism_claim_ids,source_ids,policy_package_ids,effect_claim_checked,legal_claim_checked,mechanism_claim_checked,effect_claim_reviewed,priority_effect_review_outcomes,priority_effect_publication_actions,publication_claim_class,publication_status
I-035,CF-035,P4-035,Democracy and agency impact assessment,Model / provider,Governance / assurance,rights-and-democracy impact assessment with stakeholder engagement,"states, providers, public authorities and independent assessors",Council of Europe parties and EU,Non-binding official guidance,Operational voluntary,HUDERIA is non-binding; CETS 225 is not yet in force.,Pilot,"Assess scale, scope, likelihood, reversibility and stakeholder impacts on autonomy, opinion formation and democratic processes",model and deployment design → controlling actor → influence environment → affected publics → agency transfer → democratic concentration,Collective / institutional,Legal / operational precedent,None,None — mechanism or proposal only,Plausible hypothesis,Captures autonomy and democratic harms omitted by catastrophic-risk frameworks,High-level principles; private-sector scope varies; self-assessment and weak remedies,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Assessments completed; stakeholder inclusion; high-risk findings; mitigation closure; residual democratic risk,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,Use the project’s causal chain and agency-transfer construct to make HUDERIA operational for frontier-model manipulation.,"Rights, democracy and agency impact assessment",M-14; M-15; M-16,S-01,G-01; G-11; G-12; G-14,CLM-0087; CLM-0088; CLM-0089,CLM-0089,CLM-0087,CLM-0088,SRC-019,G0,false,false,true,false,,,Plausible hypothesis,research_preview
I-036,CF-036,P4-036,International frontier-risk reporting framework,Model / provider,Governance / assurance,international code and reporting template,"OECD, G7 governments and advanced-AI developers",international,Voluntary / private,Operational voluntary,implemented,Operational,"Standardise voluntary disclosures on risk identification, evaluation, incident management, security and transparency across providers",cross-border providers → comparable reporting → regulator and public scrutiny → convergent controls → reduced jurisdictional arbitrage,Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Creates comparable evidence across providers and jurisdictions without waiting for a global treaty,"Self-reporting, selective disclosure, inconsistent interpretation and no sanction for poor performance","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Provider participation; field completeness; independent verification; manipulation-domain coverage; year-on-year improvement,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,"Add standard fields for APE, MASK, harmful-manipulation efficacy, open-weight modality and adversarial safeguard performance.",International frontier-risk reporting framework,M-12; M-14; M-16,,,CLM-0090; CLM-0091; CLM-0092,CLM-0092,CLM-0090,CLM-0091,SRC-020,,false,false,false,false,,,Plausible hypothesis,research_preview
I-037,CF-037,P4-037,Security assessment and algorithm filing for socially mobilising generative AI,Model / provider,Governance / assurance,"administrative filing, security assessment and inspection",Cyberspace Administration of China and sector regulators,China,Binding,Applicable,implemented,Operational,"Require security assessment, algorithm filing and regulatory cooperation for services with public-opinion or social-mobilisation capacity",generative capability → service provider → mass communication → population → opinion mobilisation → state-supervised deployment,Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Demonstrates a direct model-service trigger based on influence and mobilisation capability,Can enable political censorship and state control rather than democratic agency; opaque assessment criteria,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Services assessed and filed; review time; enforcement actions; transparency and appeal availability,Monitor / shape,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,Contextual capability link,2026-08-11,"Useful as a structural precedent, not a normative model: democratic safeguards must prevent the intervention itself becoming concentrated manipulation power.",Security assessment and algorithm filing for socially mobilising generative AI,M-14; M-16,,,CLM-0093; CLM-0094; CLM-0095,CLM-0095,CLM-0093,CLM-0094,SRC-021,,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-038,CF-038,P4-038,Enhanced review of cloud–frontier-model partnerships,Model / provider,Enforcement,"merger review, market investigation and antitrust enforcement",competition authorities,"United States, EU and allied jurisdictions",Binding,Applicable,implemented case-by-case,Operational,"Scrutinise equity, exclusivity, control, information sharing, compute commitments and preferential distribution in AI partnerships",compute and capital concentration → cloud–model alliance → model and distribution control → dependent firms and publics → concentrated epistemic power,Epistemic; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Limits vertical structures that concentrate compute, models, distribution and safety evidence in the same actors",Partnerships also finance expensive models and safeguards; uncertain market definition; remedies may arrive late,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Exclusivity clauses; compute concentration; switching costs; model distribution share; merger remedies,Monitor / shape,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,Contextual capability link,2026-08-11,"Part 2 capability concentration should be read alongside ownership and cloud dependence, not merely as a model leaderboard.",AI market concentration and structural oversight,M-02; M-05; M-09; M-13; M-14,S-01,,CLM-0096; CLM-0097; CLM-0098,CLM-0098,CLM-0096,CLM-0097,SRC-022,P12,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-039,CF-039,P4-039,"Model and cloud portability, interoperability and anti-lock-in rules",Model / provider,Procurement,"competition remedy, interoperability standard and procurement requirement","competition authorities, public procurers and standards bodies",EU and international recommendation,Proposed,Proposed / pending,Case-specific competition and procurement powers provide precedents; no general binding model-and-cloud portability duty is established by the cited policy brief.,Design-ready,"Reduce egress barriers, support model switching and multi-provider interfaces, and prevent self-preferencing or coercive tying",platform dependency → dominant provider → default model and assistant → organisations and citizens → infrastructural reliance → agency concentration,Relational; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Preserves contestability and reduces dependence on one provider’s model, safeguards and epistemic defaults",Interoperability can increase attack surfaces and lowest-common-denominator safety; technical quality differs,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Migration time and cost; egress charges; multi-homing rate; interface compatibility; market concentration,Monitor / shape,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,Contextual capability link,2026-08-11,"Open weights can improve contestability, but Part 1 shows why competition benefits cannot erase release-risk differences.","Interoperability, portability and exit",M-05; M-13; M-14; M-15; M-16,S-01,G-10; G-11,CLM-0099; CLM-0100,CLM-0100,,CLM-0099,SRC-023,P12,false,false,false,false,,,Plausible hypothesis,research_preview
I-040,CF-040,P4-040,Public-interest compute for independent evaluation and safer alternatives,Model / provider,Research / evaluation,public infrastructure and competitive grant allocation,"governments, universities and AI safety institutes",California precedent; international recommendation,Voluntary / private,Operational voluntary,CalCompute planning mandated; other public programmes operational,Operational,"Fund public compute capacity for evaluators, academia, civil society and public-interest model development",compute concentration → limited independent evidence → provider dominance → weak oversight → concentrated model and epistemic power,Epistemic; Relational; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Makes external APE, MASK, agentic and open-weight evaluation technically feasible and supports plural model supply","Political allocation, duplication, security exposure, insufficient scale and capture by incumbents","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Independent evaluator GPU hours; models evaluated; organisations served; replication rate; cost per evaluation,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,Contextual capability link,2026-08-11,"This is the infrastructure needed to keep the Part 1–2 evaluation suite independent, persistent and runnable as new open models appear.",Public-interest compute and AI infrastructure,M-05; M-12; M-13; M-14; M-15,S-01,G-11; G-13,CLM-0101; CLM-0102; CLM-0103,CLM-0103,CLM-0101,CLM-0102,SRC-013,P12; P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-041,CF-046,P4-041,Open benchmark commons and standardised public evaluation registry,Model / provider,Research / evaluation,"public evaluation platform, registry and reporting standard","AISI, NIST, academia and independent evaluators",international,Voluntary / private,Operational voluntary,partially implemented,Pilot,"Publish versioned evaluation code, model metadata, scoring specifications, uncertainty and reproducible release-level results",opaque provider testing → public benchmark infrastructure → comparable evidence → procurement and regulatory decisions → reduced information asymmetry,Epistemic; Decisional; Collective / institutional,Normative proposal,E0,None — mechanism or proposal only,Plausible hypothesis,"Makes capability and safeguard trends independently auditable across closed, open and modified models","Benchmark gaming, contamination, evaluator monoculture and publication of dangerous artefacts","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Release coverage; reproducibility; benchmark freshness; private holdout share; inter-evaluator agreement,Pilot,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",Pilot — 6–18 months,No direct link,Contextual capability link,2026-08-11,"The project should package APE, MASK and election red-team tasks as versioned Inspect-compatible evals while keeping dangerous cases access-controlled.",Independent evaluation and researcher access,M-12; M-13; M-14; M-16,D-01,G-06; G-12; G-13,CLM-0104; CLM-0105; CLM-0106,CLM-0106,CLM-0104,CLM-0105,SRC-024,P13,false,false,false,false,,,Plausible hypothesis,research_preview
I-042,CF-042,P4-042; P4-085,Election-specific systemic-risk assessment and mitigation for very large platforms and search engines,Platform / distribution,Law / regulation,Digital Services Act Articles 34-35 plus Commission election guidelines,VLOPs and VLOSEs; supervised by the European Commission and Digital Services Coordinators,European Union,Binding,Applicable,In force; guidelines are the current compliance benchmark,Operational,"Require VLOPs and VLOSEs to assess election-specific risks from service design, ranking, advertising, generative AI, coordinated manipulation and local context; deploy mitigations before the electoral period, maintain an incident mechanism and publish a post-election review.","AI-enabled campaign or state actor → platform design and ranking → voter exposure and salience → belief, attention or trust change → agency transfer to campaign and platform → concentrated agenda-setting → electoral distortion.",Epistemic; Attentional; Evaluative; Decisional; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Moves governance upstream from takedowns to product design, staffing, language coverage, recommender controls and election readiness.",Covers only designated very large services; relies heavily on platform self-assessment; lacks common outcome benchmarks; can become process compliance without reducing exposure or agency loss.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Risk and mitigation coverage by vector and language; prevalence and reach of violating content; recommendation-driven exposure; incident time-to-detection and time-to-mitigation; post-election residual risk; audit findings.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,The duties bind VLOPs/VLOSEs. The election guidelines interpret and operationalise those duties but are not a standalone law.,Platform election-risk assessment and implementation,M-05; M-09; M-10; M-12; M-13,C-01; C-02; C-05; C-06,G-07; G-12,CLM-0107; CLM-0108; CLM-0109,CLM-0109,CLM-0107,CLM-0108,SRC-003; SRC-053,P06,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-043,CF-043,P4-043,Recommender-system transparency for online platforms,Platform / distribution,Governance / assurance,Digital Services Act Articles 27 and 38,Online platforms and VLOPs; enforced by Digital Services Coordinators and the European Commission,European Union,Binding,Applicable,DSA Article 27 recommender transparency for online platforms; the Article 38 non-profiling option is separated into I-084.,Operational,Disclose in clear language the main recommender parameters and users' options to modify or influence them under DSA Article 27. The non-profiling option is coded separately under I-084.,Platform optimisation → personalised feed → repeated political exposure → attention and preference shaping → agency transfer to platform → concentrated control of the decision environment.,Epistemic; Attentional; Evaluative; Decisional; Relational,Legal / operational precedent,None,None — legal existence only,Established — legal status,Creates an exit from inferred-vulnerability targeting and gives users some control over how political attention is allocated.,Non-profiled does not mean neutral or safe; platforms can nudge users toward the default; transparency may be too abstract; chronological feeds can still be gamed by coordinated networks.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Default versus alternative feed prominence; opt-in and persistence rates; political-content concentration and source diversity; exposure inequality; user comprehension; differential manipulation prevalence by feed mode.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Recommender-system transparency for online platforms,M-03; M-05; M-09; M-10; M-12,C-01; C-05; C-06,G-12,CLM-0110; CLM-0111; CLM-0112,CLM-0112,CLM-0110,CLM-0111,SRC-025,P06,false,true,false,false,,,Established — legal status,research_preview
I-044,CF-044,P4-044; P4-083,Ban on manipulative interface design and dark patterns,Cross-layer,Law / regulation,Digital Services Act Article 25,Online platforms; national Digital Services Coordinators,European Union,Binding,Applicable,In force,Operational,"Prohibit online-platform interfaces that deceive, manipulate, or materially distort users' ability to make free and informed decisions.",Platform or campaign-controlled interface → deceptive choice architecture → reduced reflection or coerced disclosure → behavioural or dependency change → agency transfer → platform power concentration.,Evaluative; Decisional; Relational; Collective / institutional,Legal / operational precedent,E1,Direct component evidence,Established — component effect,"Targets the decision environment itself rather than only false content, making it directly relevant to agency transfer.","Boundary between persuasion and manipulation is context-sensitive; enforcement may focus on commercial UX and miss political onboarding, consent flows, notification pressure or agent defaults.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Completion and consent asymmetries; reversal or opt-out friction; comprehension; dark-pattern findings; changes in data disclosure, feed settings and political-notification acceptance.",Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Dark patterns and unfair personalization,M-05; M-06; M-14; M-15; M-16,C-01; C-06,G-12,CLM-0113; CLM-0114; CLM-0115,CLM-0115,CLM-0113,CLM-0114,SRC-025; SRC-026,P06,false,true,false,true,Partially supported with different evidence,Rewrite endpoint,Provisional — effect evidence not claim-checked,research_preview
I-045,CF-045,P4-045,Online-platform ad transparency and sensitive-data targeting limits,Platform / distribution,Law / regulation,Digital Services Act Articles 26 and 39,Online platforms and VLOPs,European Union,Binding,Applicable,DSA Article 26 ad transparency and sensitive-data targeting limits for online platforms; Article 39 repositories are VLOP/VLOSE-only.,Operational,"Identify advertisements and sponsors, disclose key targeting parameters, and prohibit ad profiling using special-category data under DSA Article 26. The DSA Article 39 repository is VLOP/VLOSE-only; the broader political-ad repository is coded under P4-049.",Campaign or proxy → opaque paid targeting → selected vulnerable voter → preference or turnout change → agency transfer to campaign and ad platform → unequal political power.,Evaluative; Decisional; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Makes paid influence more observable and reduces direct use of sensitive traits for personalised persuasion.,"Issue ads, influencers and organic coordination may evade classification; inferred proxies can reproduce sensitive targeting; repositories can be incomplete or hard to query.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Ad coverage and missingness; sponsor verification; targeting-field completeness; repository latency; spend and reach by audience; rate of proxy-sensitive segments; researcher usability.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,"Political-ad transparency, targeting and repositories",M-03; M-09; M-14; M-16,C-01; C-05; C-06,G-07; G-12,CLM-0116; CLM-0117; CLM-0118,CLM-0118,CLM-0116,CLM-0117,SRC-025,P06; P07,false,true,false,false,,,Established — legal status,research_preview
I-046,CF-046,P4-046; P4-093,Vetted researcher access to non-public platform data,Institutional / structural,Research / evaluation,Digital Services Act Article 40 and 2025 delegated act on data access,"Digital Services Coordinators, European Commission, VLOPs/VLOSEs and vetted researchers",European Union,Binding — limited scope,Applicable,"Conditional Article 40 data access for designated VLOPs/VLOSEs, subject to reasoned requests and safeguards.",Operational,"Allow qualified independent researchers to request necessary VLOP and VLOSE data to identify systemic risks and evaluate mitigation, through Digital Services Coordinator vetting and a common portal.","Opaque platform data → weak external detection → unchecked optimisation and influence → hidden agency transfer; researcher access interrupts this by making exposure, coordination and mitigation auditable.",Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Enables measurement of recommender exposure, cross-account coordination and whether safeguards work, closing the central evidence gap in Part 3.",Slow approvals can miss elections; privacy and trade-secret objections can narrow datasets; qualified-researcher criteria exclude journalists and smaller civil society groups; platform data schemas can frustrate replication.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Application and approval times; request scope granted; dataset completeness; reproducibility; number of election studies; disclosure disputes; time from finding to mitigation or enforcement.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,0–6 months,No direct link,No direct link,2026-08-11,,Independent evaluation and researcher access,M-05; M-12; M-14; M-16,C-01; C-06,G-12; G-13,CLM-0119; CLM-0120; CLM-0121,CLM-0121,CLM-0119,CLM-0120,SRC-027; SRC-059,P06; P13,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-047,CF-047,P4-047,Annual independent audits of systemic-risk and code commitments,Cross-layer,Governance / assurance,Digital Services Act Article 37 and Article 45 code framework,"Independent audit organisations, platforms and European Commission",European Union,Mixed,Applicable,In force; Code commitments auditable from 2025-07-01,Operational,"Require annual independent audits of VLOP/VLOSE compliance, including risk controls and, for adherents, auditable Code of Conduct on Disinformation commitments.",Platform self-governance → unverified safeguards → persistent manipulation capacity → agency transfer; external assurance raises the cost of superficial controls.,Epistemic; Evaluative; Relational,Legal / operational precedent,None,None — legal existence only,Established — legal status,Creates recurring scrutiny of whether claimed election safeguards are implemented and effective.,"Auditor dependence, narrow assurance scopes, confidential evidence, lagging annual cadence and checklist behaviour can conceal election-period failures.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Qualified and adverse findings; remediation closure time; repeat findings; audit coverage of local languages and recommenders; public disclosure quality; enforcement following audit failures.,Enforce now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,No direct link,2026-08-11,Annual Article 37 audits are binding for covered services; joining the Article 45 Code remains voluntary.,Annual independent audits of systemic-risk and code commitments,M-02; M-04; M-05; M-12; M-13,C-01,,CLM-0122; CLM-0123; CLM-0124,CLM-0124,CLM-0122,CLM-0123,SRC-028; SRC-086,P06,false,false,false,false,,,Provisional — legal status not claim-checked,research_preview
I-048,CF-042,P4-048,"Pre-election stress tests, readiness dialogues and regulator election toolkits",Cross-layer,Coordination / incident response,DSA Elections Toolkit and voluntary readiness exercises under the Article 35 framework,"European Commission, Digital Services Coordinators, national election authorities, platforms and civil society","EU and partner countries, including Moldova",Voluntary / private,Operational voluntary,Operational best practice; used in EU elections and Moldova,Operational,"Run scenario exercises with platforms, election bodies, regulators, security actors and civil society; test escalation paths, local-language capacity and platform responses before voting.",Emerging AI-enabled incident → fragmented detection and authority → delayed response → rapid belief or turnout effects → temporary agency seizure; stress tests pre-wire coordination.,Epistemic; Executive; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Reduces coordination latency and exposes gaps before a late-breaking deepfake, coordinated network or false voting claim appears.",Scripted exercises may not test adversarial evasion; voluntary platform participation; threat scenarios can become stale; unclear thresholds for public attribution or takedown.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Exercise gap closure; escalation and decision times; contact availability; platform response consistency; red-team success rate; coverage of private messaging and small platforms.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,No direct link,2026-08-11,,Platform election-risk assessment and implementation,M-12; M-13; M-14; M-16,C-01; C-02; C-05,G-12,CLM-0125; CLM-0126; CLM-0127,CLM-0127,CLM-0125,CLM-0126,SRC-029,P06,false,false,false,false,,,Plausible hypothesis,research_preview
I-049,CF-045,P4-049,"Mandatory labels, sponsor notices and an EU repository for political advertising",Platform / distribution,Law / regulation,"Regulation (EU) 2024/900, especially Articles 11-15","Sponsors, political-ad service providers, publishers, national competent authorities and European Commission",European Union,Binding,Applicable,Applicable since 2025-10-10,Operational,"Require each paid or targeted political ad to be labelled and linked to a notice naming the sponsor, election, remuneration, spend and targeting; transmit online ads to a European repository and accelerate complaint handling near elections.",Sponsor or proxy → covert paid communication → voter → hidden persuasion → agency transfer to sponsor → concentrated political influence; disclosure restores source contestability.,Epistemic; Evaluative; Decisional; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,"Makes who paid, how much and why a voter was reached visible to voters, regulators and researchers.","Platforms may exit political advertising, shifting influence to organic creators, messaging apps and foreign intermediaries; sponsor declarations can be false; repository implementation can lag.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Share of ads with complete notices; sponsor-verification failures; repository latency; notification resolution within 48 hours in the final month; undisclosed paid influence detected outside formal ads.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,No direct link,2026-08-11,,"Political-ad transparency, targeting and repositories",M-03; M-09; M-11; M-13; M-14,C-06,G-07; G-14,CLM-0128; CLM-0129; CLM-0130,CLM-0130,CLM-0128,CLM-0129,SRC-030,P07,false,true,false,false,,,Established — legal status,research_preview
I-050,CF-045,P4-050,Restrict personal-data political-ad targeting and prohibit special-category profiling,Platform / distribution,Governance / assurance,Regulation (EU) 2024/900 Articles 18-19,"Campaigns, controllers, ad-tech providers, publishers and data protection authorities",European Union,Binding,Applicable,Regulation 2024/900 restricts personal-data political targeting and prohibits special-category profiling; it is not a blanket microtargeting ban.,Operational,Permit personal-data-based political targeting only when data were collected from the person and separate explicit consent was obtained; prohibit profiling using special-category data and targeting known near-voting-age minors.,Campaign data broker → vulnerability inference and microtargeting → individual voter → tailored pressure or preference shaping → agency transfer to campaign → asymmetric democratic power.,Evaluative; Decisional; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Cuts the Cambridge Analytica pathway from intimate or political data to personalised influence without meaningful voter consent.,Contextual and lookalike targeting can act as proxies; consent fatigue and bundled interfaces undermine autonomy; political actors can move targeting in-house or into messaging lists.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Valid-consent rate; use of inferred proxies; audience-segment size; sensitive-data violations; targeting explanations understood; proportion of political reach occurring outside regulated advertising.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,No direct link,2026-08-11,,"Political-ad transparency, targeting and repositories",M-03; M-09; M-11; M-14; M-16,C-06,G-07; G-14,CLM-0131; CLM-0132; CLM-0133,CLM-0133,CLM-0131,CLM-0132,SRC-030; SRC-031,P07,false,true,false,false,,,Established — legal status,research_preview
I-051,CF-045,P4-051,Three-month pre-election ban on political-ad services for third-country sponsors,Platform / distribution,Law / regulation,Regulation (EU) 2024/900,"Political-ad service providers, publishers and competent national authorities",European Union,Binding,Applicable,Applicable since 2025-10-10,Operational,Prohibit political advertising services for sponsors outside the EU during the three months before an election or referendum in a Member State.,Foreign state or proxy → paid distribution → domestic electorate → agenda or trust change → agency transfer abroad → external concentration of electoral influence.,Evaluative; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Raises the cost of overt foreign paid influence during the highest-risk period.,"Shell entities, domestic agents, influencers, issue advertising and unpaid coordinated content can evade sponsor-location rules; a three-month window misses long-horizon preference shaping.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Rejected third-country purchases; beneficial-owner verification; proxy sponsorship cases; foreign-linked organic reach; spending displacement before the window.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,6–18 months,No direct link,No direct link,2026-08-11,,"Political-ad transparency, targeting and repositories",M-03; M-05; M-06; M-09; M-10,C-06,G-07; G-14,CLM-0134; CLM-0135; CLM-0136,CLM-0136,CLM-0134,CLM-0135,SRC-030; SRC-031,P07,false,true,false,false,,,Established — legal status,research_preview
I-052,CF-029,P4-052,Machine-readable marking of AI-generated content and visible deepfake disclosure,Platform / distribution,Law / regulation,EU AI Act Article 50 and Code of Practice on Transparency of AI-generated Content,AI providers and deployers; market-surveillance authorities and AI Office,European Union,Binding,Applicable,Binding Article 50 duties from 2026-08-02; voluntary code is an implementation route. Limited transition to 2026-12-02 for Article 50(2) pre-existing generators.,Operational,Require providers to mark synthetic outputs in machine-readable form and deployers to disclose deepfakes and certain AI-generated public-interest text; use an EU code and common icons to standardise compliance.,Generative model or campaign → synthetic impersonation → voter → false source belief or trust shock → agency transfer to fabricator → electoral harm; provenance and disclosure restore source knowledge.,Epistemic; Decisional; Relational; Collective / institutional,Legal / operational precedent,None,None — legal existence only,Established — legal status,Supports cross-platform detection and visible disclosure of synthetic candidate or election content.,Metadata can be stripped; open models and foreign actors may not comply; absence of a mark is not proof of authenticity; labels can create disclosure fatigue or a liar's dividend.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",Marking coverage by provider and modality; persistence after editing and re-upload; detector precision and recall; label visibility and comprehension; share of viral synthetic incidents carrying valid provenance.,Enforce now,Enforce legal scope; measure implementation and rights costs separately from legal existence.,Applicable now; limited transition to 2026-12-02,No direct link,No direct link,2026-08-11,,Synthetic-output provenance and disclosure,M-05; M-08; M-09; M-13; M-14,C-03; C-04; C-05; X-01,G-09; G-12; G-14,CLM-0137; CLM-0138; CLM-0139,CLM-0139,CLM-0137,CLM-0138,SRC-016; SRC-111,P01; P09,false,true,false,false,,,Established — legal status,research_preview
I-053,CF-053,P4-053,"Auditable platform commitments on demonetisation, bots, fake accounts, impersonation, deepfakes and recommender integrity",Platform / distribution,Governance / assurance,EU Code of Conduct on Disinformation integrated under DSA Article 45,"Adhering platforms, search engines, advertising actors, fact-checkers and civil society; overseen by Commission and Digital Services Board",European Union,Voluntary / private,Operational voluntary,Integrated into DSA framework in 2025; commitments auditable since 2025-07-01; first co-regulatory reports published 2026-03-24,Operational,"Commit signatories to cut disinformation revenue, label and archive political ads, detect fake accounts and bot amplification, address impersonation and malicious deepfakes, support fact-checkers, improve recommender transparency and report service-level indicators.",Malicious actor → coordinated accounts and monetised amplification → platform audience → repeated exposure and trust erosion → agency transfer to network controller → concentrated narrative power.,Epistemic; Attentional; Relational,Normative proposal,None,Indirect / mixed,Plausible hypothesis,Targets distribution infrastructure and coordinated behaviour rather than adjudicating every political claim.,"Selective commitments, inconsistent enforcement, opaque prevalence denominators, migration to non-signatories and difficulty separating authentic mobilisation from coordination.","Necessity, proportionality, privacy, speech, competition, and access require context-specific review.",CIB networks disrupted; fake-account prevalence; coordinated reach before removal; demonetised revenue; recommender exposure reduction; language coverage; independent audit exceptions.,Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",6–18 months,No direct link,No direct link,2026-08-11,,"Auditable platform commitments on demonetisation, bots, fake accounts, impersonation, deepfakes and recommender integrity",M-03; M-05; M-08; M-09; M-10,C-01; C-02; C-05; C-06,,CLM-0140; CLM-0141; CLM-0142,CLM-0142,CLM-0140,CLM-0141,SRC-032,P06,false,false,false,false,,,Plausible hypothesis,research_preview
I-054,CF-054,P4-054,Time-bound election Rapid Response System for platform escalation,Cross-layer,Coordination / incident response,Code of Conduct on Disinformation election cooperation and Rapid Response System,"EDMO, fact-checkers, civil society signatories and participating platforms",European Union and election-specific deployments,Voluntary / private,Operational voluntary,Operational since the 2024 European Parliament election and reused in later elections,Operational,"Allow authorised non-platform signatories, fact-checkers and civil society to rapidly flag severe, time-sensitive content, accounts or trends and discuss response with platforms under their policies.","Late-breaking synthetic or coordinated incident → rapid spread → no time for ordinary review → belief, turnout or legitimacy shock → temporary agency transfer; an escalation lane compresses response time.",Epistemic; Collective / institutional,Normative proposal,None,Indirect / mixed,Plausible hypothesis,"Creates a trusted, fast channel for the final hours when ordinary notice systems are too slow.",Platform policy still controls action; privileged flaggers may miss local or minority-language incidents; false positives and government pressure can chill speech; no common service-level obligation.,"Necessity, proportionality, privacy, speech, competition, and access require context-specific review.","Acknowledgement and disposition time; reach accrued before action; escalation acceptance rate; false-positive and appeal outcomes; coverage by country, language, platform and modality.",Implement now,"Decision follows legal maturity, causal plausibility, reversibility and current evidence—not a composite score.",0–6 months,No direct link,No direct link,2026-08-11,,Election rapid response and escalation,M-08; M-10; M-12; M-13; M-14,C-01; C-02; C-05,G-08; G-12,CLM-0143; CLM-0144; CLM-0145,CLM-0145,CLM-0143,CLM-0144,SRC-033,P06; P13,false,false,false,false,,,Plausible hypothesis,research_preview
