relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids
CS-0045,CLM-0281,SRC-023,Context only / pending claim check,Source supports P4-104 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0045; CS-0168
CS-0105,CLM-0283,SRC-069,Context only / pending claim check,Source supports P4-105 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0105
CS-0200,CLM-0285,SRC-119,Supports,The enacted DMA directly supports the virtual-assistant service category and formal designation condition.,Only Commission-designated gatekeepers and the core platform services specified in designation decisions are in scope.,Claim checked — primary legal source,Legal existence and scope do not establish intervention effectiveness.,CS-0200
CS-0106,CLM-0286,SRC-070,Context only / pending claim check,Source supports P4-106 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0106
CS-0107,CLM-0288,SRC-071,Context only / pending claim check,Source supports P4-107 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0107
CS-0108,CLM-0290,SRC-071,Context only / pending claim check,Source supports P4-108 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0108
CS-0098,CLM-0292,SRC-064,Context only / pending claim check,Source supports P4-109 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0098
CS-0101,CLM-0296,SRC-066,Context only / pending claim check,Source supports P4-111 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0101; CS-0169
CS-0109,CLM-0298,SRC-072,Context only / pending claim check,Source supports P4-112 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0109; CS-0170
CS-0110,CLM-0300,SRC-073,Context only / pending claim check,Source supports P4-113 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0110; CS-0171
CS-0104,CLM-0302,SRC-068,Context only / pending claim check,Source supports P4-114 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0104; CS-0172
CS-0111,CLM-0304,SRC-074,Context only / pending claim check,Source supports P4-115 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0111
CS-0112,CLM-0306,SRC-075,Context only / pending claim check,Source supports P4-116 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0112
CS-0173,CLM-0309,SRC-081,Context only / pending claim check,Primary anchor retained from legacy P4-117; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0173
CS-0094,CLM-0311,SRC-061,Context only / pending claim check,Source supports P4-118 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0094; CS-0174
CS-0084,CLM-0315,SRC-053,Context only / pending claim check,Source supports P4-120 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0084; CS-0175
CS-0176,CLM-0317,SRC-084,Context only / pending claim check,Primary anchor retained from legacy P4-121; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0176
CS-0181,CLM-0317,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0181
CS-0193,CLM-0320,SRC-042,Context only / pending claim check,Enacted/enjoined status anchor from the cited final judgment.,Applicability remains party- and litigation-specific.,URL recorded — recheck before citation,,CS-0193
