relation_id,implementation_id,claim_id,claim_role,relevance,notes
ICL-0260,I-097,CLM-0260,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0261,I-097,CLM-0261,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0262,I-097,CLM-0262,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0263,I-098,CLM-0263,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0264,I-098,CLM-0264,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0265,I-098,CLM-0265,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0266,I-099,CLM-0266,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0267,I-099,CLM-0267,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0268,I-099,CLM-0268,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0269,I-100,CLM-0269,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0270,I-100,CLM-0270,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0271,I-100,CLM-0271,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0272,I-101,CLM-0272,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0273,I-101,CLM-0273,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0274,I-101,CLM-0274,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0275,I-102,CLM-0275,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0276,I-102,CLM-0276,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0277,I-103,CLM-0277,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0278,I-103,CLM-0278,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0279,I-103,CLM-0279,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0280,I-104,CLM-0280,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0281,I-104,CLM-0281,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0282,I-104,CLM-0282,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0283,I-105,CLM-0283,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0284,I-105,CLM-0284,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0285,I-106,CLM-0285,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0286,I-106,CLM-0286,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0287,I-106,CLM-0287,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0288,I-107,CLM-0288,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0289,I-107,CLM-0289,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0290,I-108,CLM-0290,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0291,I-108,CLM-0291,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0292,I-109,CLM-0292,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0293,I-109,CLM-0293,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0294,I-110,CLM-0294,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0295,I-110,CLM-0295,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0296,I-111,CLM-0296,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0297,I-111,CLM-0297,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0298,I-112,CLM-0298,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0299,I-112,CLM-0299,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0300,I-113,CLM-0300,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0301,I-113,CLM-0301,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0302,I-114,CLM-0302,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0303,I-114,CLM-0303,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0304,I-115,CLM-0304,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0305,I-115,CLM-0305,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0306,I-116,CLM-0306,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0307,I-116,CLM-0307,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0308,I-117,CLM-0308,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0309,I-117,CLM-0309,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0310,I-117,CLM-0310,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0311,I-118,CLM-0311,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0312,I-118,CLM-0312,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0313,I-119,CLM-0313,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0314,I-119,CLM-0314,Direct effectiveness,Cautionary,Do not upgrade this claim from Strong inference because a legal duty or risk mechanism exists.
ICL-0315,I-120,CLM-0315,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0316,I-120,CLM-0316,Direct effectiveness,Cautionary,Do not upgrade this claim from Plausible hypothesis because a legal duty or risk mechanism exists.
ICL-0317,I-121,CLM-0317,Legal basis,Core,Legal status never implies control effectiveness.
ICL-0318,I-121,CLM-0318,Expected mechanism,Core,Mechanism claim is distinct from evidence that the control works.
ICL-0319,I-121,CLM-0319,Direct effectiveness,Cautionary,Do not upgrade this claim from Open question because a legal duty or risk mechanism exists.
ICL-0320,I-063,CLM-0320,Legal basis,Core,Contested/enjoined status is the operative legal claim.
