relation_id,claim_id,source_id,support_relation,basis_note,applicability_scope,verification_level,notes,merged_relation_ids,publication_relation_status
CS-0197,CLM-0232,SRC-117,Supports,Offline recommender experiments support bounded technical feasibility of performance-based minimisation with heterogeneous quality effects.,"No evidence on assistant memory, deletion completeness, intimate manipulation, dependency, or real-user outcomes.",Claim checked — empirical source,Average effects conceal heterogeneous user-level losses.,CS-0197,claim_support_checked
CS-0086,CLM-0233,SRC-054,Context only / pending claim check,Source supports P4-087 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0086,pending_claim_check
CS-0198,CLM-0235,SRC-118,Supports,The study directly observed receipt of relevant personal data in three of four exercises and no successful functional import or direct transfer across the four consumer IoT systems.,"Small 2019 IoT snapshot; no assistant-state portability, switching, redress, lock-in, or agency endpoint.",Claim checked — empirical source,Amazon returned data associated with another account in the fourth exercise. Negative implementation evidence is not proof that a new portability standard would be ineffective.,CS-0198,claim_support_checked
CS-0087,CLM-0237,SRC-055,Context only / pending claim check,Source supports P4-088 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0087,pending_claim_check
CS-0088,CLM-0239,SRC-056,Context only / pending claim check,Source supports P4-089 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0088,pending_claim_check
CS-0089,CLM-0242,SRC-057,Context only / pending claim check,Source supports P4-090 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0089,pending_claim_check
CS-0090,CLM-0246,SRC-058,Context only / pending claim check,Source supports P4-091 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-091; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0090; CS-0161,pending_claim_check
CS-0051,CLM-0248,SRC-025,Supports,Source supports P4-092 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0051,claim_support_checked
CS-0092,CLM-0252,SRC-060,Context only / pending claim check,Source supports P4-094 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-094; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0092; CS-0162,pending_claim_check
CS-0180,CLM-0254,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0180,claim_support_checked
CS-0016,CLM-0255,SRC-004,Supports,Source supports P4-095 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0016,source_checked_not_eligible_for_claim_type
CS-0163,CLM-0255,SRC-083,Context only / pending claim check,Primary anchor retained from legacy P4-095; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0163,pending_claim_check
CS-0164,CLM-0257,SRC-089,Supports,Primary anchor retained from legacy P4-096; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0164,claim_support_checked
CS-0093,CLM-0258,SRC-061,Context only / pending claim check,Source supports P4-096 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0093,pending_claim_check
CS-0095,CLM-0260,SRC-062,Context only / pending claim check,Source supports P4-097 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0095,pending_claim_check
CS-0199,CLM-0263,SRC-120,Supports,The official mandatory-scope and exemptions policy directly supports the corrected administrative mandate and scope claim.,"United Kingdom central-government policy only; applicability depends on organisation, tool lifecycle, and public effect or interaction; exemptions apply.",Claim checked — primary official policy source,Mandatory administrative policy is distinct from a general statutory obligation.,CS-0199,claim_support_checked
CS-0096,CLM-0264,SRC-063,Context only / pending claim check,Source supports P4-098 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-098; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0096; CS-0165,pending_claim_check
CS-0097,CLM-0267,SRC-064,Context only / pending claim check,Source supports P4-099 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0097,pending_claim_check
CS-0099,CLM-0270,SRC-065,Context only / pending claim check,Source supports P4-100 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0099,pending_claim_check
CS-0100,CLM-0273,SRC-066,Context only / pending claim check,Source supports P4-101 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-101; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0100; CS-0166,pending_claim_check
CS-0102,CLM-0275,SRC-067,Context only / pending claim check,Source supports P4-102 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0102,pending_claim_check
CS-0103,CLM-0278,SRC-068,Context only / pending claim check,Source supports P4-103 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-103; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0103; CS-0167,pending_claim_check
CS-0045,CLM-0281,SRC-023,Context only / pending claim check,Source supports P4-104 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-104; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0045; CS-0168,pending_claim_check
CS-0105,CLM-0283,SRC-069,Context only / pending claim check,Source supports P4-105 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0105,pending_claim_check
CS-0200,CLM-0285,SRC-119,Supports,The enacted DMA directly supports the virtual-assistant service category and formal designation condition.,Only Commission-designated gatekeepers and the core platform services specified in designation decisions are in scope.,Claim checked — primary legal source,Legal existence and scope do not establish intervention effectiveness.,CS-0200,claim_support_checked
CS-0106,CLM-0286,SRC-070,Context only / pending claim check,Source supports P4-106 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0106,pending_claim_check
CS-0107,CLM-0288,SRC-071,Context only / pending claim check,Source supports P4-107 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0107,pending_claim_check
CS-0108,CLM-0290,SRC-071,Context only / pending claim check,Source supports P4-108 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0108,pending_claim_check
CS-0098,CLM-0292,SRC-064,Context only / pending claim check,Source supports P4-109 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0098,pending_claim_check
CS-0101,CLM-0296,SRC-066,Context only / pending claim check,Source supports P4-111 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-111; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0101; CS-0169,pending_claim_check
CS-0109,CLM-0298,SRC-072,Context only / pending claim check,Source supports P4-112 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-112; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0109; CS-0170,pending_claim_check
CS-0110,CLM-0300,SRC-073,Context only / pending claim check,Source supports P4-113 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-113; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0110; CS-0171,pending_claim_check
CS-0104,CLM-0302,SRC-068,Context only / pending claim check,Source supports P4-114 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-114; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0104; CS-0172,pending_claim_check
CS-0111,CLM-0304,SRC-074,Context only / pending claim check,Source supports P4-115 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0111,pending_claim_check
CS-0112,CLM-0306,SRC-075,Context only / pending claim check,Source supports P4-116 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0112,pending_claim_check
CS-0173,CLM-0309,SRC-081,Context only / pending claim check,Primary anchor retained from legacy P4-117; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0173,pending_claim_check
CS-0094,CLM-0311,SRC-061,Context only / pending claim check,Source supports P4-118 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-118; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0094; CS-0174,pending_claim_check
CS-0084,CLM-0315,SRC-053,Context only / pending claim check,Source supports P4-120 as recorded in the legacy ledger; v0.3 separates this from intervention-effect evidence. | Primary anchor retained from legacy P4-120; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0084; CS-0175,pending_claim_check
CS-0176,CLM-0317,SRC-084,Context only / pending claim check,Primary anchor retained from legacy P4-121; claim scope is governed by the v0.3 intervention row.,Scope limited to the atomic claim text and verification level.,URL recorded — recheck before citation,,CS-0176,pending_claim_check
CS-0181,CLM-0317,SRC-111,Supports,Checked scope/status from primary text.,Scope limited to the atomic claim text and verification level.,Claim checked — primary legal source,,CS-0181,claim_support_checked
CS-0193,CLM-0320,SRC-042,Context only / pending claim check,Enacted/enjoined status anchor from the cited final judgment.,Applicability remains party- and litigation-specific.,URL recorded — recheck before citation,,CS-0193,pending_claim_check
